Line,Smell,Threshold,File
110,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-compat/src/test/java/org/apache/maven/repository/LegacyRepositorySystemTest.java
114,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/metadata/ClasspathContainer.java
137,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/MetadataResolutionRequest.java
77,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/project/validation/ModelValidationResult.java
340,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/resolver/DefaultArtifactResolver.java
56,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/test/java/org/apache/maven/model/building/DefaultModelBuilderFactoryTest.java
68,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/test/java/org/apache/maven/model/building/DefaultModelBuilderFactoryTest.java
74,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/test/java/org/apache/maven/model/building/DefaultModelBuilderFactoryTest.java
82,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/test/java/org/apache/maven/model/building/DefaultModelBuilderFactoryTest.java
193,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/building/ModelData.java
188,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/AbstractArtifactResolutionException.java
87,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-slf4j-provider/src/main/java/org/slf4j/impl/MavenSimpleLogger.java
62,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/CLIReportingUtils.java
69,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/CLIReportingUtils.java
54,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/transfer/Slf4jMavenTransferListener.java
200,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/transfer/AbstractMavenTransferListener.java
229,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/transfer/AbstractMavenTransferListener.java
119,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/CLIManager.java
124,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/CLIManager.java
157,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/CLIManager.java
178,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/CLIManager.java
183,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/CLIManager.java
210,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/CLIManager.java
215,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/CLIManager.java
238,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/CLIManager.java
244,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/CLIManager.java
250,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/CLIManager.java
255,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/CLIManager.java
289,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/CLIManager.java
275,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/event/ExecutionEventLogger.java
631,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/MavenCli.java
718,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/MavenCli.java
1321,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/MavenCli.java
37,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/logging/impl/LogbackConfiguration.java
41,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/logging/impl/LogbackConfiguration.java
45,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-embedder/src/main/java/org/apache/maven/cli/logging/impl/LogbackConfiguration.java
97,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/AbstractCoreMavenComponentTestCase.java
125,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/AbstractCoreMavenComponentTestCase.java
180,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/project/PomConstructionTest.java
209,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/project/PomConstructionTest.java
274,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/project/PomConstructionTest.java
303,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/project/PomConstructionTest.java
796,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/project/PomConstructionTest.java
98,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/project/DefaultMavenProjectBuilderTest.java
99,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/toolchain/building/DefaultToolchainsBuilderTest.java
129,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/toolchain/building/DefaultToolchainsBuilderTest.java
167,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/toolchain/building/DefaultToolchainsBuilderTest.java
176,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/toolchain/building/DefaultToolchainsBuilderTest.java
247,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/toolchain/building/DefaultToolchainsBuilderTest.java
278,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/toolchain/building/DefaultToolchainsBuilderTest.java
306,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/test/java/org/apache/maven/toolchain/building/DefaultToolchainsBuilderTest.java
141,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/RepositoryUtils.java
174,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/RepositoryUtils.java
197,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/ReactorReader.java
53,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/plugin/internal/MavenScopeDependenciesValidator.java
150,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/plugin/PluginParameterException.java
390,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/internal/aether/DefaultRepositorySystemSessionFactory.java
120,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/lifecycle/internal/DefaultMojoExecutionConfigurator.java
131,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/lifecycle/internal/DefaultMojoExecutionConfigurator.java
145,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/lifecycle/internal/DefaultMojoExecutionConfigurator.java
1119,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/MavenProject.java
88,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/project/ReactorModelPool.java
151,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/DefaultProjectDependenciesResolver.java
136,long message chain,4,../input_projects/java_projects/maven-3-9-6/maven-core/src/main/java/org/apache/maven/artifact/repository/MavenArtifactRepository.java