Line,Smell,Number of Parameters,Threshold,File
7241,long parameters,6,5,../input_projects/js_projects/chancejs/docs/chance.js
7244,long parameters,7,5,../input_projects/js_projects/chancejs/docs/chance.js
7247,long parameters,7,5,../input_projects/js_projects/chancejs/docs/chance.js
7250,long parameters,7,5,../input_projects/js_projects/chancejs/docs/chance.js
7253,long parameters,7,5,../input_projects/js_projects/chancejs/docs/chance.js
7702,long parameters,6,5,../input_projects/js_projects/chancejs/chance.js
7705,long parameters,7,5,../input_projects/js_projects/chancejs/chance.js
7708,long parameters,7,5,../input_projects/js_projects/chancejs/chance.js
7711,long parameters,7,5,../input_projects/js_projects/chancejs/chance.js
7714,long parameters,7,5,../input_projects/js_projects/chancejs/chance.js